label,paragraph
Academics,"Illinois Computer Science is ranked #5 nationally and distinguished by our programs, academic excellence, and renowned faculty. We are advancing the future of computing with 120+ professors, $33M+ in research, 20 IEEE Fellows, 18 ACM Fellows, 11 Sloan Research Fellows, and 47 NSF CAREER Awards. We are trail-blazing pathways for study with 20+ degree options, 2,400+ undergraduate, 2,600+ graduate, and 490+ Ph.D. students."
Academics,"The Computer Science curriculum provides both a broad and deep knowledge of the theory, design, and application of computer systems, with an emphasis on software systems. Because computing is ubiquitous, application areas involve virtually any field imaginable - from developing gene sequencing algorithms via techniques in computational biology, to designing user interfaces for mobile applications; from designing methods for high frequency trading, to creating computer generated graphics and special effects in the gaming industry; and from creating embedded real time systems to be deployed in medical devices, to analyzing social data from internet communication patterns. During the first two years the curriculum provides a strong foundation in mathematics, science, and computation. Advanced coursework both in more technical core areas and in areas of the student's choosing follows in the second two years. Graduates regularly go on to graduate study or leading positions in industry."
Academics,"Both a combined B.S.-M.S. degree program and a B.S-M.C.S. degree program are available. The admission and course requirements are described on the
Computer Science website
."
Academics,"Sample Sequence
This sample sequence is intended to be used only as a guide for degree completion. All students should work individually with their academic advisors to decide the actual course selection and sequence that works best for them based on their academic preparation and goals. Enrichment programming such as study abroad, minors, internships, and so on may impact the structure of this four-year plan. Course availability is not guaranteed during the semester indicated in the sample sequence. The curriculum sequence can also be viewed via dynamic and static curricular maps, which include prerequisite sequencing."
Academics,Students must fulfill their Language Other Than English requirement by successfully completing a third level of a language other than English. See the corresponding section on the Degree and General Education Requirements. If the option of
Academics,"Computer Science is the study of theory, design, and applications of digital computers. You will also learn software design and informational processing techniques across a broad range of topics ranging from virtual reality, to social computing and data science. Previous exposure to programming is not required. If you’re creative, logical, and a good problem solver, this major may be for you."
Academics,"The Department of Computer Science in The Grainger College of Engineering is shaping the future of computing and data science backed by a legacy of excellence. Our innovative students and alumni have transformed society by founding companies like BlackLine, C3.ai, Malwarebytes, Match.com, Optimizely, YouTube, PayPal, and Yelp. You could be next! Career options include application design, consulting, data analysis, research, software development, and studio tool development."
Academics,"As part of the computing community at Illinois, you will benefit from being part of a top five ranked Computer Science program with world-class faculty and research. Learn more about the Department's
Rankings and Statistics
."
Academics,Students are welcome to explore numerous undergraduate research opportunities throughout the academic year or over the summer.
Academics,"All students have access to campus, college, and department resources to support their internship and job search opportunities."
Academics,"Computer Science is the study of theory, design, and applications of digital computers. You will also learn software design and informational processing techniques across a broad range of topics ranging from virtual reality, to social computing and data science. Previous exposure to programming is not required. If you’re creative, logical, and a good problem solver, this major may be for you.
HackIllinois
,
Reflections | Projections
, and
ChicTech
are just a few of the exciting student-run projects and events where you can meet interesting people and find your passion.Our innovative students and alumni have transformed society by founding companies like BlackLine, C3.ai, Malwarebytes, Match.com, Optimizely, YouTube, PayPal, and Yelp. You could be next! Career options include application design, consulting, data analysis, research, software development, and studio tool development."
Academics,"Illinois Computer Science (CS) offers more than a dozen undergraduate degree programs based on the same set of core CS courses, but with a second field of interest tailored to fit your passion—whether that’s more computer science or the fundamentals of another discipline through
CS + X
or
X + Data Science
. CS students in The Grainger College of Engineering will gain a broad and deep knowledge of the theory, design, and application of computer systems, with an emphasis on software systems."
Academics,"Undergraduate students in the CS program may apply to complete one of our Fifth Year Master's Programs. Otherwise, the differences in requirements between the degree programs generally reflect the differences in their focus, with students in The Grainger College of Engineering taking a Physics sequence and science electives, while Mathematics & CS and Statistics & CS students take additional mathematics and statistics courses. CS + X students pursue a program of study incorporating a strong grounding in computer science with technical or professional training in the arts and sciences. Learn about the differences between CS degree programs in our
FAQ
."
Academics,"The computer science major allows you to perform world-changing research, lead educational innovation, and prepares you to be among the most sought after graduates in the field. About twenty-two percent of our computer science graduates continue their education in graduate school, and about seventy-six percent take positions in industry."
Academics,"As a computer science graduate, your career ventures can include working in application design, consulting, data analysis, research, software development and studio tools developer. The average salary between 2020-21 for computer science grads was reported as $113,498 with a median signing bonus of $20,000."
Academics,"The University of Illinois has designed an innovative blended degree option, called
CS + X,
that allows students to pursue a flexible program of study incorporating a strong grounding in computer science with technical or professional training in the arts and sciences."
Academics,"Computing is ubiquitous, with application areas in virtually any field imaginable – from developing gene-sequencing algorithms, to designing methods for high frequency trading, creating computer-generated graphics and special effects, analyzing social data from internet communications, and creating embedded real-time systems for medical devices."
Academics,"""X"" represents the major blended with the core computer science curriculum. Majors are offered by several colleges across campus – you apply to and graduate from the college that offers the X major. Illinois graduates with a CS + X degree are uniquely positioned to launch their careers or pursue graduate studies in a wide variety of fields."
Academics,"Anthropologists use computational tools and algorithms to analyze large amounts of data either gathered from a field site or by studying online social communities and social networks. Students majoring in CS + Anthropology will have knowledge of how people live and communicate as social beings, which can inform best designs and user interfaces for software."
Academics,"CS + Chemistry majors might develop computer models or simulate chemical and biochemical processes, perform statistical analysis of large data sets, or create visualizations of reaction pathways, molecular interactions, or other phenomena."
Academics,"The Computer Science + Economics curriculum provides students with enhanced quantitative analysis and programming skills. Students learn a variety of economic analytical skills, both theoretical and empirical, as well as computational skills."
Academics,"Everything happens
somewhere
, and Illinois is the national leader in CyberGIS -- the use of high-performance, large-scale computing to answer geospatial quetions. Students in CS + Geography & Geographic Information Science will not only develop advanced programming skills to deal with geospatial data, but also create new methods and tools to analyze that data."
Academics,"Do you ever wonder how Apple’s Siri, Google’s Translate, or Amazon’s Echo work? Are you intrigued by advances in artificial intelligence, which enable computers to have human-like behavior and understand spoken or written language? Do you think you have what it takes to design user-friendly computer programs and interfaces using natural language communication? If you answered yes to any of these questions then you should consider the CS + Linguistics degree."
Academics,"Philosophy uses the tools of logic and reason to analyze the ways in which humans experience the world. Students studying CS + Philosophy are prepared to tackle modern questions related to ethics, logic, and privacy in the digital age, which are increasingly important to areas like artificial intelligence and security."
Academics,"Students majoring in CS + Animal Sciences will be well-positioned to apply CS to advance animal health and behavior, food production, nutrition, animal biology, and environmental concerns. For example, this could include mining data from remote sensors to detect and treat health problems in large herds, or analyzing genomic information to improve disease resistance."
Academics,"Are you interested in improving food security and nutrition? Do you want to make food production more efficient and environmentally friendly? Are you fascinated by the development of disease- and pest-resistant crops? If so, you may want to consider CS + Crop Sciences (CS + CSPC)."
Academics,"The first degree of its kind, the CS + Crop Sciences major prepares students to pursue careers in agriculture with an emphasis on technology. More than ever before, agriculture relies on technologies such as GIS-based data gathering, drone-enabled soil and field analysis, the study of weather and climate, and molecular genetics, which all generate huge amounts of data. Learn about computational modeling and data collection, analysis, and management, in order to advance agricultural practices."
Academics,"The Computer Science + Education, BS is sponsored jointly by the Department of Computer Science and the Department of Curriculum & Instruction. The major in Computer Science and Education is a flexible program for undergraduate students who plan to pursue careers in either field and offers two foci of concentration."
Academics,"Do you want to push the state-of-the art in music composition? Are you excited to enhance the human experience with music via song analysis tools and recommendation systems? What will be the next technological breakthrough in how we create and enjoy music? Can we teach an artificial intelligence how to compose novel and compelling scores? If you find these possibilities intriguing, the CS + Music program could be right for you."
Academics,"All computer science programs prefer students to be on a calculus track, having either precalculus or calculus by their senior year in high school. Applicants applying to the Computer Science program in The Grainger College of Engineering should demonstrate teamwork and interpersonal communication skills along with an interest in improving society through engineering. Applicants applying to any of the CS + X programs should demonstrate genuine interest in the ‘+’ aspect of the major. You can find more details about the
major-specific review criteria
as well as our
holistic review process
for first-year applicants on the Office of Undergraduate Admissions website."
Academics,"If you complete any Illinois CS or CS + X bachelor's degree or the CS minor with a GPA of 3.0 or better in the last two years of your undergraduate degree and a GPA of 3.2 or better in CS courses, you are
to our guaranteed admission"
Academics,"The
University of Illinois Department of Computer Science
is the academic department encompassing the discipline of
computer science
at the
University of Illinois at Urbana-Champaign
. According to
U.S. News & World Report
, both its undergraduate and graduate programs rank in the top five among American universities.
[5]
The department ranks equally high in faculty submissions to reputable journals and academic conferences, as determined by CSRankings.org. [6]"
Academics,The department also offers two 5-year bachelors/masters programs through the College of Engineering: Bachelor of Science/Master of Science (B.S./M.S.) in Computer Science and Bachelors of Science/Masters of Computer Science(B.S./M.C.S.).
Academics,"If you want to launch or advance a successful data science or computer science career, you can learn the most in-demand skills while earning your Master of Computer Science. As a graduate, you’ll be qualified to pursue a variety of roles: scientist, analyst, engineer, leader, and more. In 2023,
Fortune
ranked University of Illinois as having the #1 Best Online Master’s in Data Science Program."
Academics,"The University of Illinois at Urbana-Champaign is a global leader in research, teaching, and public engagement. The UIUC Computer Science Department was named a top-5 computer science school in 2022 by
U.S. News and World Report
. MCS faculty are known for a pioneering legacy, as they have been at the forefront of new industries and technologies."
Academics,"If you want to launch or advance a successful data science or computer science career, you can learn the most in-demand skills while earning your Master of Computer Science. As a graduate, you’ll be qualified to pursue a variety of roles: scientist, analyst, engineer, leader, and more. In 2023,
Fortune
ranked University of Illinois as having the #1 Best Online Master’s in Data Science Program."
Academics,"The University of Illinois at Urbana-Champaign is a global leader in research, teaching, and public engagement. The UIUC Computer Science Department was named a top-5 computer science school in 2022 by
U.S. News and World Report
. MCS faculty are known for a pioneering legacy, as they have been at the forefront of new industries and technologies."
Academics,"Master of Computer Science (MCS):
The MCS degree is for computing professionals who want to build skills in advanced topics in computer science, such as artificial intelligence, database & information systems, parallel computing, graphics, systems & networking, scientific computing, and more. This degree will accelerate your career and help you move into leading a team of engineers."
Academics,"Master of Computer Science in Data Science (MCS-DS):
The MCS-DS degree gives its graduates full programmable control of the instrumentation of big data as well as the full-stack understanding of how to process the data to discover new insights and optimize organizational decision-making. Students in this track earn the same MCS degree, but their curriculum concentrates on data science courses."
Academics,"Build expertise and career skills in the most important computer science and data science topics. This degree program includes advanced coursework in artificial intelligence, databases, interactive computing, software engineering, scientific computing, high-performance computing, and more."
Academics,"The Department of Electrical and Computer Engineering at Illinois offers a world-class education that allows students to master the fundamentals that will make them outstanding engineers. Learn more about what sets us apart, and how you might fit in our program."
Academics,"Illinois ECE is consistently ranked among the top engineering programs in the world, with a reputation for excellence in education and research."
Academics,"The Grainger College of Engineering is one of the top engineering programs in the world, enabling individuals to improve their quality of life through education, research, innovation, entrepreneurship and societal engagement. Our graduates and faculty transform the world for the better."
Academics,"There’s no academic experience quite like Grainger Engineering. Ranked the #6 college of engineering with 13 top 5 programs from
US News and World Report
, we have a reputation of being the best of the best. But a lot goes into those numbers. Engaging professors. State-of-the-art facilities. Groundbreaking student resources. Brilliant classmates. Supportive environment. Endless opportunities. Whether you're a first year undergraduate or working toward a PhD, our programs are designed to help you become the engineer you want to be."
Academics,"The Grainger College of Engineering offers an unrivaled academic experience, with world-class faculty leading undergraduate programs designed to help you fulfill your greatest potential. Explore options across 15 top-ranked engineering majors, and customize your education with minors and dual-degree programs offer even more flexibility. Your brightest future starts here, at Grainger Engineering."
Academics,"Grainger Engineering offers research-oriented, thesis-based master's and Ph.D. programs, as well as professionally-oriented master's programs, across 12 departments. These programs enable you to interact with leaders of their field, have sufficient impact on science and industry, and explore innovation and discovery across disciplinary boundaries."
Academics,"Grainger Engineering offers 11 online master's degree programs across a range of engineering subjects, allowing students to find a graduate specialization that meets their academic and professional goals. The online master's degree programs are instructed by world-class faculty and feature an enriching engineering curriculum of in-demand knowledge that can be immediately applied in the workplace."
Academics,"As one of the world's top-ranked engineering institutions, the University of Illinois’ Grainger College of Engineering is a leader in engineering education, research, and public engagement. Our diverse, tight-knit community of faculty, students, and alumni set the standard for excellence in engineering, driving innovation in the economy and bringing revolutionary ideas to the world. Collectively, we are thinking and designing to solve the world's greatest challenges, every day."
Academics,"The Grainger College of Engineering offers an unrivaled academic experience, with world-class faculty leading undergraduate programs designed to help you fulfill your greatest potential. Explore options across 15 top-ranked engineering majors, and customize your education with minors and dual-degree programs offer even more flexibility. Your brightest future starts here, at Grainger Engineering."
Academics,Need more time to decide on an engineering major? The Engineering Undeclared (EU) program provides a select group of students with the opportunity to explore Grainger Engineering major options during their first two years of undergraduate study.
Academics,"The B.S. dual degree in Innovation, Leadership and Engineering Entrepreneurship (ILEE) program is intended for engineering students to better understand the innovative processes involved in identifying complex technical problems and creating, developing, and leading efforts to provide engineering solutions. A unique aspect of this degree is the inclusion of project-based experiential credits. This is credit that is approved, supervised, and coordinated by an Illinois faculty member. At this time, the ILEE degree is only available as a dual degree for Grainger Engineering students."
Academics,The minors in engineering give you the opportunity to elevate your academic experience and customize your course schedule to pursue your multifaceted interests and future professional goals.
Academics,The CS Minor is offered for students seeking significant knowledge of digital computing without the more complete treatment of a major in computer science. This minor may be taken by any student except majors in the Computer Science degree programs and in Computer Engineering.
